AccidentReference,CasualtySeverity,Date_of_Collision,Calendar_Month,Calendar_Year,VehicleReferenceNumber,CasualtyReferenceNumber,CasualtyClass,CasualtySex,CasualtyAge,GIS_Division_Desc,GIS_Local_Authority,Eastings,Northings
0914642,Slight,01-Jan-20,1,2020,1,1,Driver/Rider,Male,29,The Lothians and Scottish Borders,Midlothian,323358,657433
0914656,Serious,01-Jan-20,1,2020,1,2,Driver/Rider,Female,47,Edinburgh,City of Edinburgh,328344,674151
0914656,Serious,01-Jan-20,1,2020,2,1,Driver/Rider,Female,20,Edinburgh,City of Edinburgh,328344,674151
0914685,Serious,01-Jan-20,1,2020,1,1,Passenger/Pillion,Male,14,Greater Glasgow,Glasgow City,251672,669243
0914694,Serious,01-Jan-20,1,2020,1,1,Passenger/Pillion,Female,91,Highland and Islands,Highland,250320,835075
0914694,Slight,01-Jan-20,1,2020,1,2,Driver/Rider,Male,87,Highland and Islands,Highland,250320,835075
0914700,Slight,01-Jan-20,1,2020,1,1,Driver/Rider,Male,48,Argyll and West Dunbartonshire,Argyll & Bute,187099,688602
0915011,Fatal,01-Jan-20,1,2020,1,1,Pedestrian,Male,15,Lanarkshire,North Lanarkshire,278851,655053
0915021,Slight,02-Jan-20,1,2020,1,1,Passenger/Pillion,Female,49,Lanarkshire,South Lanarkshire,276914,648279
0915030,Slight,02-Jan-20,1,2020,1,1,Driver/Rider,Female,28,Greater Glasgow,Glasgow City,253198,669296
0915030,Slight,02-Jan-20,1,2020,2,3,Passenger/Pillion,Female,40,Greater Glasgow,Glasgow City,253198,669296
0915030,Slight,02-Jan-20,1,2020,2,4,Driver/Rider,Female,46,Greater Glasgow,Glasgow City,253198,669296
0915045,Slight,03-Jan-20,1,2020,2,1,Passenger/Pillion,Male,49,Greater Glasgow,Glasgow City,261880,664975
0915091,Slight,02-Jan-20,1,2020,1,1,Driver/Rider,Male,38,Highland and Islands,Highland,211532,757129
0915179,Serious,03-Jan-20,1,2020,2,1,Driver/Rider,Male,41,The Lothians and Scottish Borders,West Lothian,295127,657417
0915269,Slight,03-Jan-20,1,2020,1,1,Pedestrian,Male,62,Ayrshire,North Ayrshire,231411,653541
